id,original_title,original_language,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,release_year,genres,production_companies,cast,crew
396806,Anon,en,20000000,1197741,100,2.789,5.977,1609,2018-05-03,2018,"[{'name': 'Science Fiction', 'id': 878}, {'name': 'Crime', 'id': 80}, {'name': 'Mystery', 'id': 9648}, {'name': 'Thriller', 'id': 53}]","['K5 Film', 'K5 International', 'Scythia Films', 'Sierra/Affinity', 'Road Pictures']","[{'id': 2296, 'name': 'Clive Owen', 'popularity': 4.5191}, {'id': 71070, 'name': 'Amanda Seyfried', 'popularity': 9.4199}, {'id': 10132, 'name': 'Colm Feore', 'popularity': 2.5317}, {'id': 225411, 'name': ""Mark O'Brien"", 'popularity': 2.4076}, {'id': 47953, 'name': 'Sonya Walger', 'popularity': 2.1513}]","{'id': 8685, 'name': 'Andrew Niccol', 'popularity': 1.9564}"
496328,संजू,hi,21918618,67414985,161,2.2896,7.195,195,2018-06-29,2018,"[{'name': 'Drama', 'id': 18}, {'name': 'Comedy', 'id': 35}]","['Rajkumar Hirani Films', 'Vinod Chopra Films', 'Vidhu Vinod Chopra Productions']","[{'id': 85034, 'name': 'Ranbir Kapoor', 'popularity': 1.8659}, {'id': 85033, 'name': 'Paresh Rawal', 'popularity': 2.1845}, {'id': 1469935, 'name': 'Vicky Kaushal', 'popularity': 2.192}, {'id': 81928, 'name': 'Anushka Sharma', 'popularity': 1.4332}, {'id': 85669, 'name': 'Dia Mirza', 'popularity': 1.0033}]","{'id': 85675, 'name': 'Rajkumar Hirani', 'popularity': 1.0789}"
439015,Slender Man,en,10000000,11817275,93,3.0007,4.288,2043,2018-05-17,2018,"[{'name': 'Horror', 'id': 27}, {'name': 'Mystery', 'id': 9648}, {'name': 'Thriller', 'id': 53}]","['Madhouse Entertainment', 'Mythology Entertainment', 'Screen Gems']","[{'id': 111090, 'name': 'Javier Botet', 'popularity': 1.7138}, {'id': 125025, 'name': 'Joey King', 'popularity': 7.8835}, {'id': 1255570, 'name': 'Julia Goldani Telles', 'popularity': 0.9533}, {'id': 1449596, 'name': 'Jaz Sinclair', 'popularity': 0.841}, {'id': 1024722, 'name': 'Annalise Basso', 'popularity': 2.2646}]","{'id': 31119, 'name': 'Sylvain White', 'popularity': 1.1095}"
457136,Mary Queen of Scots,en,25000000,46712809,124,2.947,6.557,1823,2018-12-07,2018,"[{'name': 'Drama', 'id': 18}, {'name': 'History', 'id': 36}]","['Focus Features', 'Working Title Films', '3dot Productions', 'Perfect World Pictures']","[{'id': 36592, 'name': 'Saoirse Ronan', 'popularity': 3.7527}, {'id': 234352, 'name': 'Margot Robbie', 'popularity': 8.4708}, {'id': 1334638, 'name': 'Jack Lowden', 'popularity': 2.7473}, {'id': 1496392, 'name': 'Joe Alwyn', 'popularity': 2.9612}, {'id': 20049, 'name': 'David Tennant', 'popularity': 3.8568}]","{'id': 1182269, 'name': 'Josie Rourke', 'popularity': 1.1966}"
477489,Dans la brume,fr,13749400,2842040,90,2.1641,6.326,821,2018-04-04,2018,"[{'name': 'Drama', 'id': 18}, {'name': 'Science Fiction', 'id': 878}, {'name': 'Thriller', 'id': 53}]","['Quad Productions', 'Section 9', 'Christal Films', 'Esprits Frappeurs', 'TF1 Films Production', 'TF1 Droits Audiovisuels', 'Atitlan', 'Mitico', 'Ten Films', 'Canal+', 'Ciné+', 'TF1', 'TMC', 'Téléfilm Canada', 'C8 Films']","[{'id': 17497, 'name': 'Romain Duris', 'popularity': 1.8888}, {'id': 18182, 'name': 'Olga Kurylenko', 'popularity': 9.5961}, {'id': 1582907, 'name': 'Fantine Harduin', 'popularity': 0.9532}, {'id': 32092, 'name': 'Michel Robin', 'popularity': 1.4304}, {'id': 34989, 'name': 'Anna Gaylor', 'popularity': 0.6507}]","{'id': 227238, 'name': 'Daniel Roby', 'popularity': 0.4352}"
376865,High Life,en,8933400,2133033,113,2.8578,5.7,1126,2018-09-26,2018,"[{'name': 'Science Fiction', 'id': 878}, {'name': 'Drama', 'id': 18}, {'name': 'Mystery', 'id': 9648}]","['ARTE France Cinéma', 'Pandora Film', 'Andrew Lauren Productions', 'Alcatraz Films', 'The Apocalypse Films', 'Madants', 'ZDF/Arte']","[{'id': 11288, 'name': 'Robert Pattinson', 'popularity': 9.1102}, {'id': 1137, 'name': 'Juliette Binoche', 'popularity': 3.1819}, {'id': 37934, 'name': 'André 3000', 'popularity': 2.1833}, {'id': 1137824, 'name': 'Mia Goth', 'popularity': 4.3009}, {'id': 37982, 'name': 'Agata Buzek', 'popularity': 1.4263}]","{'id': 9888, 'name': 'Claire Denis', 'popularity': 1.2215}"
489925,Eighth Grade,en,2000000,13539709,94,2.983,7.164,1561,2018-01-19,2018,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]","['A24', 'Scott Rudin Productions']","[{'id': 122851, 'name': 'Elsie Fisher', 'popularity': 2.8808}, {'id': 52419, 'name': 'Josh Hamilton', 'popularity': 2.5206}, {'id': 1375796, 'name': 'Emily Robinson', 'popularity': 1.2915}, {'id': 1614459, 'name': 'Jake Ryan', 'popularity': 1.3225}, {'id': 1375795, 'name': 'Daniel Zolghadri', 'popularity': 1.4158}]","{'id': 115128, 'name': 'Bo Burnham', 'popularity': 1.7579}"
399796,Life of the Party,en,30000000,61700416,105,2.2838,6.107,1006,2018-05-10,2018,"[{'name': 'Comedy', 'id': 35}]","['On the Day', 'New Line Cinema', 'Warner Bros. Pictures']","[{'id': 55536, 'name': 'Melissa McCarthy', 'popularity': 3.0159}, {'id': 59841, 'name': 'Matt Walsh', 'popularity': 2.7581}, {'id': 1782117, 'name': 'Molly Gordon', 'popularity': 2.1561}, {'id': 94098, 'name': 'Gillian Jacobs', 'popularity': 2.9688}, {'id': 84482, 'name': 'Luke Benward', 'popularity': 1.7637}]","{'id': 170820, 'name': 'Ben Falcone', 'popularity': 1.7898}"
429300,Adrift,en,35000000,59945012,96,2.7057,6.841,2614,2018-05-31,2018,"[{'name': 'Thriller', 'id': 53}, {'name': 'Romance', 'id': 10749}, {'name': 'Adventure', 'id': 12}]","['STXfilms', 'RVK Studios', 'Lakeshore Entertainment', 'Huayi Brothers Pictures']","[{'id': 94185, 'name': 'Shailene Woodley', 'popularity': 4.4346}, {'id': 237455, 'name': 'Sam Claflin', 'popularity': 4.6166}, {'id': 218563, 'name': 'Jeffrey Thomas', 'popularity': 0.8339}, {'id': 5533, 'name': 'Elizabeth Hawthorne', 'popularity': 1.3342}, {'id': 1970052, 'name': 'Grace Palmer', 'popularity': 0.8349}]","{'id': 67813, 'name': 'Baltasar Kormákur', 'popularity': 1.5417}"
438689,Siberia,en,2000000,2006704,105,2.3935,4.715,580,2018-07-13,2018,"[{'name': 'Crime', 'id': 80}, {'name': 'Romance', 'id': 10749}, {'name': 'Thriller', 'id': 53}]","['Buffalo Gal Pictures', 'Summerstorm Entertainment', 'Company Films', 'Lionsgate']","[{'id': 6384, 'name': 'Keanu Reeves', 'popularity': 25.1081}, {'id': 971726, 'name': 'Ana Ularu', 'popularity': 1.464}, {'id': 52762, 'name': 'Pasha D. Lychnikoff', 'popularity': 1.7434}, {'id': 2090224, 'name': 'Boris Gulyarin', 'popularity': 0.3467}, {'id': 1869788, 'name': 'Ashley St. George', 'popularity': 0.382}]","{'id': 1450271, 'name': 'Matthew Ross', 'popularity': 0.5009}"
