id,original_title,original_language,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,release_year,genres,production_companies,cast,crew
440762,Jay and Silent Bob Reboot,en,10000000,1011305,105,1.8877,5.7,555,2019-10-15,2019,"[{'name': 'Comedy', 'id': 35}, {'name': 'Action', 'id': 28}, {'name': 'Adventure', 'id': 12}]","['SModcast Pictures', 'View Askew Productions', 'Miramax', 'Saban Films', 'Destro Films', 'Hideout Pictures', 'Intercut Capital']","[{'id': 19302, 'name': 'Jason Mewes', 'popularity': 2.0152}, {'id': 19303, 'name': 'Kevin Smith', 'popularity': 4.8408}, {'id': 576173, 'name': 'Harley Quinn Smith', 'popularity': 1.1548}, {'id': 1817709, 'name': 'Aparna Brielle', 'popularity': 1.0434}, {'id': 21596, 'name': 'Shannon Elizabeth', 'popularity': 2.7151}]","{'id': 19303, 'name': 'Kevin Smith', 'popularity': 4.8408}"
504562,Motherless Brooklyn,en,26000000,18377736,145,1.7033,6.688,1485,2019-10-31,2019,"[{'name': 'Drama', 'id': 18}, {'name': 'Thriller', 'id': 53}]","['Class 5 Films', 'MWM Studios']","[{'id': 819, 'name': 'Edward Norton', 'popularity': 5.0555}, {'id': 62, 'name': 'Bruce Willis', 'popularity': 5.8778}, {'id': 1216606, 'name': 'Gugu Mbatha-Raw', 'popularity': 3.6468}, {'id': 7447, 'name': 'Alec Baldwin', 'popularity': 4.8701}, {'id': 5293, 'name': 'Willem Dafoe', 'popularity': 6.7518}]","{'id': 819, 'name': 'Edward Norton', 'popularity': 5.0555}"
512263,Honey Boy,en,3500000,3400977,94,1.5205,7.1,683,2019-09-28,2019,"[{'name': 'Drama', 'id': 18}]","['Stay Gold Features', 'Delirio Films', 'Automatik Entertainment', 'Kindred Spirit', 'Red Crown Productions']","[{'id': 10959, 'name': 'Shia LaBeouf', 'popularity': 5.9933}, {'id': 1105079, 'name': 'Lucas Hedges', 'popularity': 2.4913}, {'id': 1590759, 'name': 'Noah Jupe', 'popularity': 2.858}, {'id': 1687573, 'name': 'Byron Bowers', 'popularity': 1.0806}, {'id': 1212, 'name': 'Laura San Giacomo', 'popularity': 2.9619}]","{'id': 930012, 'name': ""Alma Har'el"", 'popularity': 0.635}"
455957,Domino,en,7800000,439085,89,1.653,4.652,286,2019-05-31,2019,"[{'name': 'Crime', 'id': 80}, {'name': 'Thriller', 'id': 53}]","['N279 Entertainment', 'Backup Media', 'Schønne Film', 'Zilvermeer Productions', 'Recalcati Multimedia', 'saban', 'Action Brand', 'Beluga Tree', 'Proximus', 'Global Road Entertainment', 'Ciné+', 'Canal+']","[{'id': 12795, 'name': 'Nikolaj Coster-Waldau', 'popularity': 4.3704}, {'id': 23229, 'name': 'Carice van Houten', 'popularity': 2.7521}, {'id': 529, 'name': 'Guy Pearce', 'popularity': 5.0321}, {'id': 25078, 'name': 'Ériq Ebouaney', 'popularity': 1.9885}, {'id': 1129432, 'name': 'Mohammed Azaay', 'popularity': 0.8819}]","{'id': 1150, 'name': 'Brian De Palma', 'popularity': 2.7689}"
505436,Qu'est-ce qu'on a encore fait au Bon Dieu ?,fr,18500000,87761988,99,1.7305,5.888,1281,2019-01-30,2019,"[{'name': 'Comedy', 'id': 35}]","['Les Films du 24', 'TF1 Films Production', 'Les Films du Premier']","[{'id': 28781, 'name': 'Christian Clavier', 'popularity': 2.7896}, {'id': 82119, 'name': 'Chantal Lauby', 'popularity': 1.2477}, {'id': 83969, 'name': 'Ary Abittan', 'popularity': 1.0688}, {'id': 1077538, 'name': 'Medi Sadoun', 'popularity': 0.8266}, {'id': 226021, 'name': 'Frédéric Chau', 'popularity': 0.455}]","{'id': 225142, 'name': 'Philippe de Chauveron', 'popularity': 0.8635}"
411728,The Professor and the Madman,en,25000000,4957273,124,1.5968,7.148,1202,2019-03-07,2019,"[{'name': 'History', 'id': 36}, {'name': 'Drama', 'id': 18}, {'name': 'Mystery', 'id': 9648}, {'name': 'Thriller', 'id': 53}]","['Fastnet Films', '22h22', 'Caviar Antwerp NV', 'Definition Films', 'Zik Zak Filmworks', 'Voltage Pictures', 'Fábrica de Cine', 'Icon Productions']","[{'id': 2461, 'name': 'Mel Gibson', 'popularity': 9.7268}, {'id': 2228, 'name': 'Sean Penn', 'popularity': 5.2795}, {'id': 58502, 'name': 'Natalie Dormer', 'popularity': 4.6297}, {'id': 1665, 'name': 'Eddie Marsan', 'popularity': 3.3103}, {'id': 49971, 'name': 'Jennifer Ehle', 'popularity': 3.1644}]","{'id': 17655, 'name': 'Farhad Safinia', 'popularity': 0.47}"
523172,Late Night,en,4000000,22384741,102,1.4171,6.403,812,2019-01-25,2019,"[{'name': 'Comedy', 'id': 35}, {'name': 'Drama', 'id': 18}]","['FilmNation Entertainment', '30WEST', 'MK International', '3 Arts Entertainment', 'Imperative Entertainment']","[{'id': 7056, 'name': 'Emma Thompson', 'popularity': 6.0753}, {'id': 125167, 'name': 'Mindy Kaling', 'popularity': 2.9093}, {'id': 7133, 'name': 'Max Casella', 'popularity': 1.0856}, {'id': 12791, 'name': 'Hugh Dancy', 'popularity': 3.3249}, {'id': 81681, 'name': ""Denis O'Hare"", 'popularity': 2.4041}]","{'id': 1239766, 'name': 'Nisha Ganatra', 'popularity': 1.3938}"
575828,Холоп,ru,2600000,50803834,109,2.0511,7.0,172,2019-11-24,2019,"[{'name': 'Comedy', 'id': 35}]","['Yellow, Black & White', 'MEM Cinema Production', 'KIT Film Studio', 'Central Partnership']","[{'id': 226139, 'name': 'Miloš Biković', 'popularity': 1.637}, {'id': 126863, 'name': 'Ivan Okhlobystin', 'popularity': 0.9893}, {'id': 1441614, 'name': 'Aleksandra Bortich', 'popularity': 1.0112}, {'id': 29838, 'name': 'Aleksandr Samoylenko', 'popularity': 1.007}, {'id': 29847, 'name': 'Mariya Mironova', 'popularity': 0.7461}]","{'id': 143696, 'name': 'Klim Shipenko', 'popularity': 0.5056}"
561557,Askeladden - I Soria Moria slott,no,7300000,2996763,99,1.2703,6.544,114,2019-08-23,2019,"[{'name': 'Fantasy', 'id': 14}, {'name': 'Adventure', 'id': 12}]","['Maipo Film', 'uMedia']","[{'id': 1042507, 'name': 'Vebjørn Enger', 'popularity': 0.3391}, {'id': 1198672, 'name': 'Eili Harboe', 'popularity': 0.9026}, {'id': 105563, 'name': 'Mads Sjøgård Pettersen', 'popularity': 1.569}, {'id': 63757, 'name': 'Elias Holmen Sørensen', 'popularity': 0.3461}, {'id': 32683, 'name': 'Sidse Babett Knudsen', 'popularity': 1.6201}]","{'id': 225814, 'name': 'Mikkel Brænne Sandemose', 'popularity': 0.2749}"
553141,The Head Hunter,en,30000,44652,72,1.5844,5.397,310,2019-04-05,2019,"[{'name': 'Horror', 'id': 27}, {'name': 'Fantasy', 'id': 14}]","['Brayne Studios', 'Detention Films']","[{'id': 1928965, 'name': 'Christopher Rygh', 'popularity': 0.5143}, {'id': 2265743, 'name': 'Cora Kaufman', 'popularity': 0.157}, {'id': 2292949, 'name': 'Aisha Ricketts', 'popularity': 0.1251}]","{'id': 1113259, 'name': 'Jordan Downey', 'popularity': 0.9041}"
